ID,Nombre,Imagen,RutaCompleta
2889,"Sota Hirayama",/images/faces/A-784424.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-784424.png"
2904,"Tamás Pető",/images/faces/A-133263.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-133263.png"
2916,"Jordy Van Bremen",/images/faces/A-860867.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-860867.png"
2991,"Olaf Rompelberg",/images/faces/A-861366.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-861366.png"
3031,"Giorgi Gakokidze",/images/faces/A-59145996.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-59145996.png"
3154,"José María Romero Poyón",/images/faces/A-14655.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-14655.png"
3177,"Francisco de Borja Lacasa Sancho",/images/faces/A-4210850.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-4210850.png"
3183,"Marcos Bermúdez Martínez",/images/faces/A-1512097.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-1512097.png"
3214,"Carlos Alcántara Cuevas",/images/faces/A-1503798.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-1503798.png"
3216,"Jesús Muñoz Calonge",/images/faces/A-413.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-413.png"
3233,"Juan Velasco Damas",/images/faces/A-6701711.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-6701711.png"
3266,"Ángel Morales Cuerva",/images/faces/A-4203261.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-4203261.png"
3272,"Rubén Pérez Chueca",/images/faces/A-67009094.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-67009094.png"
3275,"Marco Antonio Ortega Cotano",/images/faces/A-6701739.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-6701739.png"
3278,"Jesús María Serrano Eugi",/images/faces/A-4210555.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-4210555.png"
3282,"Antoni Pinilla Miranda",/images/faces/A-14030.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-14030.png"
3293,"Pablo Hernandez",/images/faces/A-1510161.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-1510161.png"
3330,"Francisco Gonzalo Galán Quesada",/images/faces/A-67020847.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-67020847.png"
3338,"Basilio Sancho Agudo",/images/faces/A-67010817.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-67010817.png"
3345,"Francisco Pavón Barahona",/images/faces/A-67018692.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-67018692.png"
3349,"Óscar Miñambres",/images/faces/A-812813.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-812813.png"
3403,"Carlos Xabier Pascual Luca de Tena",/images/faces/A-7448310.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7448310.png"
3421,"Igor Jauregi Iraola",/images/faces/A-4200948.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-4200948.png"
3462,"Antonio Puerta",/images/faces/A-7453007.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7453007.png"
3510,"César Jiménez Jiménez",/images/faces/A-4211119.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-4211119.png"
3579,"Benny Gall",/images/faces/A-2004183.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2004183.png"
